Representation,Algorithm,A0_Silhouette,A1_Silhouette,A2_Silhouette,A0_CH,A1_CH,A2_CH,A0_DB,A1_DB,A2_DB
Raw Waveform Stats,K3,0.3399997271876021,0.3086750368312278,0.6579396845428025,23.41379721086318,19.34328917593649,21.474929485013057,0.8050685320115313,1.0382144565908995,0.19261485167005654
Raw Waveform Stats,K4,0.2720715636857464,0.38587867577522317,0.49372019959404156,27.175168709078342,25.808126264321928,28.543540126038916,0.721647850906854,0.5985942501517696,0.5060720629297357
Raw Waveform Stats,K5,0.30945934130024416,0.31935785296933167,0.30388133645821824,28.969248507385345,29.508791864689734,31.333955716812053,0.6875718643113616,0.6885172385467736,0.7569923399062142
Logmel Mean,K3,0.3172279967429375,0.41092652110180755,0.4989549231537596,23.877451126678356,32.98059707183465,29.76122605397726,1.0849741415029754,0.7017354395029605,0.7058032639717982
Logmel Mean,K4,0.34019623894349155,0.3317007281140325,0.3463975023923353,24.69187380533937,33.540661590686874,31.850682505505628,0.9545972435157766,0.804038103332641,0.8730684681510876
Logmel Mean,K5,0.3368607102491736,0.3503320453261261,0.3740653774854994,24.494268313933233,36.79717588427188,31.974370726449663,0.9794804468474558,0.8844601426574027,0.9338767378396712
Mfcc Mean,K3,0.3173935986336722,0.35043694318533886,0.26575623383979113,18.051867127496873,20.369920296831218,15.543431840013106,1.2596077418091074,1.0717516253583217,1.3418899195255094
Mfcc Mean,K4,0.3074351317643139,0.31420868919160266,0.27058098826589677,16.508696433497274,17.519144087315798,12.757559502289268,1.1511117218403566,1.2580371404935438,1.454358325442613
Mfcc Mean,K5,0.30303843491087784,0.2790905354338399,0.27960022674211465,16.12566310281855,15.20239492605664,13.986007377946304,0.9946823116954782,1.1623047634198127,1.0134719660019518
